Name,url
Lionel Messi FIFA 14,/player/158023/lionel-messi/fifa14/
Cristiano Ronaldo FIFA 14,/player/20801/cristiano-ronaldo/fifa14/
Zlatan Ibrahimović FIFA 14,/player/41236/zlatan-ibrahimovi%C4%87/fifa14/
Luis Suárez FIFA 14,/player/176580/luis-su%C3%A1rez/fifa14/
Falcao FIFA 14,/player/167397/falcao/fifa14/
Franck Ribéry FIFA 14,/player/156616/franck-rib%C3%A9ry/fifa14/
Robin van Persie FIFA 14,/player/7826/robin-van-persie/fifa14/
Iniesta FIFA 14,/player/41/iniesta/fifa14/
Eden Hazard FIFA 14,/player/183277/eden-hazard/fifa14/
Thiago Silva FIFA 14,/player/164240/thiago-silva/fifa14/
Sergio Agüero FIFA 14,/player/153079/sergio-ag%C3%BCero/fifa14/
Bastian Schweinsteiger FIFA 14,/player/121944/bastian-schweinsteiger/fifa14/
Xavi FIFA 14,/player/10535/xavi/fifa14/
Arjen Robben FIFA 14,/player/9014/arjen-robben/fifa14/
Edinson Cavani FIFA 14,/player/179813/edinson-cavani/fifa14/
Juan Mata FIFA 14,/player/178088/juan-mata/fifa14/
Mesut Özil FIFA 14,/player/176635/mesut-%C3%B6zil/fifa14/
Gareth Bale FIFA 14,/player/173731/gareth-bale/fifa14/
David Silva FIFA 14,/player/168542/david-silva/fifa14/
Manuel Neuer FIFA 14,/player/167495/manuel-neuer/fifa14/
Philipp Lahm FIFA 14,/player/121939/philipp-lahm/fifa14/
Wayne Rooney FIFA 14,/player/54050/wayne-rooney/fifa14/
Robert Lewandowski FIFA 14,/player/188545/robert-lewandowski/fifa14/
Ángel Di María FIFA 14,/player/183898/%C3%A1ngel-di-mar%C3%ADa/fifa14/
Arturo Vidal FIFA 14,/player/181872/arturo-vidal/fifa14/
Luka Modrić FIFA 14,/player/177003/luka-modri%C4%87/fifa14/
Cesc Fàbregas FIFA 14,/player/162895/cesc-f%C3%A0bregas/fifa14/
Sergio Ramos FIFA 14,/player/155862/sergio-ramos/fifa14/
Piqué FIFA 14,/player/152729/piqu%C3%A9/fifa14/
Carlos Tévez FIFA 14,/player/143001/carlos-t%C3%A9vez/fifa14/
Vincent Kompany FIFA 14,/player/139720/vincent-kompany/fifa14/
Yaya Touré FIFA 14,/player/20289/yaya-tour%C3%A9/fifa14/
Casillas FIFA 14,/player/5479/casillas/fifa14/
Mario Götze FIFA 14,/player/192318/mario-g%C3%B6tze/fifa14/
Neymar FIFA 14,/player/190871/neymar/fifa14/
Thomas Müller FIFA 14,/player/189596/thomas-m%C3%BCller/fifa14/
Sergio Busquets FIFA 14,/player/189511/sergio-busquets/fifa14/
Marco Reus FIFA 14,/player/188350/marco-reus/fifa14/
Mats Hummels FIFA 14,/player/178603/mats-hummels/fifa14/
Mehdi Benatia FIFA 14,/player/177509/mehdi-benatia/fifa14/
Karim Benzema FIFA 14,/player/165153/karim-benzema/fifa14/
Arda Turan FIFA 14,/player/143745/arda-turan/fifa14/
Nemanja Vidić FIFA 14,/player/140601/nemanja-vidi%C4%87/fifa14/
Wesley Sneijder FIFA 14,/player/139869/wesley-sneijder/fifa14/
Daniele De Rossi FIFA 14,/player/53302/daniele-de-rossi/fifa14/
Petr Čech FIFA 14,/player/48940/petr-%C4%8Dech/fifa14/
Xabi Alonso FIFA 14,/player/45197/xabi-alonso/fifa14/
Isco FIFA 14,/player/197781/isco/fifa14/
Thibaut Courtois FIFA 14,/player/192119/thibaut-courtois/fifa14/
Christian Eriksen FIFA 14,/player/190460/christian-eriksen/fifa14/
Pedro FIFA 14,/player/189505/pedro/fifa14/
Hulk FIFA 14,/player/189362/hulk/fifa14/
Oscar FIFA 14,/player/188152/oscar/fifa14/
Jérôme Boateng FIFA 14,/player/183907/j%C3%A9r%C3%B4me-boateng/fifa14/
Toni Kroos FIFA 14,/player/182521/toni-kroos/fifa14/
Sami Khedira FIFA 14,/player/179846/sami-khedira/fifa14/
Diego Costa FIFA 14,/player/179844/diego-costa/fifa14/
Javi Martinez FIFA 14,/player/177610/javi-martinez/fifa14/
Claudio Marchisio FIFA 14,/player/173210/claudio-marchisio/fifa14/
Salvatore Sirigu FIFA 14,/player/168435/salvatore-sirigu/fifa14/
Hugo Lloris FIFA 14,/player/167948/hugo-lloris/fifa14/
Gonzalo Higuaín FIFA 14,/player/167664/gonzalo-higua%C3%ADn/fifa14/
Samir Nasri FIFA 14,/player/165239/samir-nasri/fifa14/
Dante FIFA 14,/player/158625/dante/fifa14/
Mario Gomez FIFA 14,/player/150418/mario-gomez/fifa14/
Klaas-Jan Huntelaar FIFA 14,/player/148803/klaas-jan-huntelaar/fifa14/
Igor Akinfeev FIFA 14,/player/148119/igor-akinfeev/fifa14/
Diego López FIFA 14,/player/146748/diego-l%C3%B3pez/fifa14/
Santi Cazorla FIFA 14,/player/146562/santi-cazorla/fifa14/
Dani Alves FIFA 14,/player/146530/dani-alves/fifa14/
Javier Mascherano FIFA 14,/player/142754/javier-mascherano/fifa14/
Giorgio Chiellini FIFA 14,/player/138956/giorgio-chiellini/fifa14/
Andrea Barzagli FIFA 14,/player/137186/andrea-barzagli/fifa14/
Jérémy Toulalan FIFA 14,/player/112253/j%C3%A9r%C3%A9my-toulalan/fifa14/
Didier Drogba FIFA 14,/player/31432/didier-drogba/fifa14/
Andrea Pirlo FIFA 14,/player/7763/andrea-pirlo/fifa14/
Lucas FIFA 14,/player/200949/lucas/fifa14/
James Rodríguez FIFA 14,/player/198710/james-rodr%C3%ADguez/fifa14/
De Gea FIFA 14,/player/193080/de-gea/fifa14/
İlkay Gündoğan FIFA 14,/player/186942/i-lkay-g%C3%BCndo%C4%9Fan/fifa14/
Mario Balotelli FIFA 14,/player/186627/mario-balotelli/fifa14/
Stevan Jovetić FIFA 14,/player/181820/stevan-joveti%C4%87/fifa14/
Mario Mandžukić FIFA 14,/player/181783/mario-mand%C5%BEuki%C4%87/fifa14/
Edin Džeko FIFA 14,/player/180930/edin-d%C5%BEeko/fifa14/
Hernanes FIFA 14,/player/180432/hernanes/fifa14/
