Name,url
Adil Rami FIFA 13,/player/183280/adil-rami/fifa13/
Mario Mandžukić FIFA 13,/player/181783/mario-mand%C5%BEuki%C4%87/fifa13/
Edin Džeko FIFA 13,/player/180930/edin-d%C5%BEeko/fifa13/
Branislav Ivanović FIFA 13,/player/178372/branislav-ivanovi%C4%87/fifa13/
Javi Martínez FIFA 13,/player/177610/javi-mart%C3%ADnez/fifa13/
Kevin-Prince Boateng FIFA 13,/player/173909/kevin-prince-boateng/fifa13/
Antonio Valencia FIFA 13,/player/167905/antonio-valencia/fifa13/
Alessandro Diamanti FIFA 13,/player/163925/alessandro-diamanti/fifa13/
Steve Mandanda FIFA 13,/player/163705/steve-mandanda/fifa13/
Samir Handanovič FIFA 13,/player/162835/samir-handanovi%C4%8D/fifa13/
João Moutinho FIFA 13,/player/162347/jo%C3%A3o-moutinho/fifa13/
Fernando Llorente FIFA 13,/player/162131/fernando-llorente/fifa13/
Borja Valero FIFA 13,/player/161956/borja-valero/fifa13/
Alexandre Song FIFA 13,/player/157503/alexandre-song/fifa13/
Daniel Agger FIFA 13,/player/152039/daniel-agger/fifa13/
Klaas-Jan Huntelaar FIFA 13,/player/148803/klaas-jan-huntelaar/fifa13/
Igor Akinfeev FIFA 13,/player/148119/igor-akinfeev/fifa13/
Negredo FIFA 13,/player/146439/negredo/fifa13/
Diego Milito FIFA 13,/player/142708/diego-milito/fifa13/
Kaká FIFA 13,/player/138449/kak%C3%A1/fifa13/
David Villa FIFA 13,/player/113422/david-villa/fifa13/
Mirko Vučinić FIFA 13,/player/106850/mirko-vu%C4%8Dini%C4%87/fifa13/
Júlio César FIFA 13,/player/48717/j%C3%BAlio-c%C3%A9sar/fifa13/
Didier Drogba FIFA 13,/player/31432/didier-drogba/fifa13/
José Reina FIFA 13,/player/24630/jos%C3%A9-reina/fifa13/
Walter Samuel FIFA 13,/player/23461/walter-samuel/fifa13/
Steven Gerrard FIFA 13,/player/13743/steven-gerrard/fifa13/
John Terry FIFA 13,/player/13732/john-terry/fifa13/
Antonio Cassano FIFA 13,/player/7631/antonio-cassano/fifa13/
Rio Ferdinand FIFA 13,/player/7289/rio-ferdinand/fifa13/
Francisco Amorebielsa FIFA 13,/player/209119/francisco-amorebielsa/fifa13/
Omar Luis Cardosa FIFA 13,/player/209097/omar-luis-cardosa/fifa13/
Lucas FIFA 13,/player/200949/lucas/fifa13/
