Name,url
Eric Abidal FIFA 09,/player/141645/eric-abidal/fifa09/
Gabriel Milito FIFA 09,/player/138654/gabriel-milito/fifa09/
Marcos Senna FIFA 09,/player/135866/marcos-senna/fifa09/
Maicon FIFA 09,/player/135455/maicon/fifa09/
Marc Planus FIFA 09,/player/135149/marc-planus/fifa09/
Anatoliy Tymoschuk FIFA 09,/player/121622/anatoliy-tymoschuk/fifa09/
Pepe FIFA 09,/player/120533/pepe/fifa09/
Yakubu FIFA 09,/player/109693/yakubu/fifa09/
Artur Boruc FIFA 09,/player/105846/artur-boruc/fifa09/
Patrice Evra FIFA 09,/player/52091/patrice-evra/fifa09/
Tommaso Rocchi FIFA 09,/player/51113/tommaso-rocchi/fifa09/
Juan FIFA 09,/player/46042/juan/fifa09/
Aliaksandr Hleb FIFA 09,/player/45472/aliaksandr-hleb/fifa09/
Reina FIFA 09,/player/24630/reina/fifa09/
Vincenzo Iaquinta FIFA 09,/player/24332/vincenzo-iaquinta/fifa09/
Pablo César Aimar FIFA 09,/player/10959/pablo-c%C3%A9sar-aimar/fifa09/
Arjen Robben FIFA 09,/player/9014/arjen-robben/fifa09/
Tomáš Rosický FIFA 09,/player/8473/tom%C3%A1%C5%A1-rosick%C3%BD/fifa09/
Gareth Barry FIFA 09,/player/6826/gareth-barry/fifa09/
William Gallas FIFA 09,/player/6647/william-gallas/fifa09/
Alessandro Gamberini FIFA 09,/player/5213/alessandro-gamberini/fifa09/
Simão FIFA 09,/player/4077/sim%C3%A3o/fifa09/
Julio Ricardo Cruz FIFA 09,/player/3934/julio-ricardo-cruz/fifa09/
Joe Cole FIFA 09,/player/27/joe-cole/fifa09/
Casper Zeeberg FIFA 09,/player/184018/casper-zeeberg/fifa09/
Eduardo FIFA 09,/player/177491/eduardo/fifa09/
Hans Balabaster FIFA 09,/player/177213/hans-balabaster/fifa09/
Steve Mandanda FIFA 09,/player/163705/steve-mandanda/fifa09/
Riccardo Montolivo FIFA 09,/player/159287/riccardo-montolivo/fifa09/
Aiden McGeady FIFA 09,/player/155885/aiden-mcgeady/fifa09/
Ashley Young FIFA 09,/player/152908/ashley-young/fifa09/
Gaël Clichy FIFA 09,/player/152554/ga%C3%ABl-clichy/fifa09/
Lukas Podolski FIFA 09,/player/150516/lukas-podolski/fifa09/
Vyacheslav Malafeev FIFA 09,/player/147794/vyacheslav-malafeev/fifa09/
Jesús Navas FIFA 09,/player/146536/jes%C3%BAs-navas/fifa09/
Elano FIFA 09,/player/136137/elano/fifa09/
Alex FIFA 09,/player/135460/alex/fifa09/
Jérémy Toulalan FIFA 09,/player/112253/j%C3%A9r%C3%A9my-toulalan/fifa09/
Güiza FIFA 09,/player/110657/g%C3%BCiza/fifa09/
Valdés FIFA 09,/player/106573/vald%C3%A9s/fifa09/
Alberto Aquilani FIFA 09,/player/103935/alberto-aquilani/fifa09/
Afonso Alves FIFA 09,/player/53056/afonso-alves/fifa09/
Massimo Ambrosini FIFA 09,/player/53055/massimo-ambrosini/fifa09/
Matteo Sereni FIFA 09,/player/50579/matteo-sereni/fifa09/
Diego Forlán FIFA 09,/player/49072/diego-forl%C3%A1n/fifa09/
Christian Poulsen FIFA 09,/player/45763/christian-poulsen/fifa09/
Florent Malouda FIFA 09,/player/45601/florent-malouda/fifa09/
Mamadou Niang FIFA 09,/player/41784/mamadou-niang/fifa09/
Sidney Govou FIFA 09,/player/40898/sidney-govou/fifa09/
Ashley Cole FIFA 09,/player/34079/ashley-cole/fifa09/
Zé Roberto FIFA 09,/player/28765/z%C3%A9-roberto/fifa09/
Rafael Márquez FIFA 09,/player/26709/rafael-m%C3%A1rquez/fifa09/
Roque Santa Cruz FIFA 09,/player/25798/roque-santa-cruz/fifa09/
Walter Adrián Samuel FIFA 09,/player/23461/walter-adri%C3%A1n-samuel/fifa09/
Michael Carrick FIFA 09,/player/21146/michael-carrick/fifa09/
Martin Petrov FIFA 09,/player/17964/martin-petrov/fifa09/
Iván Ramiro Córdoba FIFA 09,/player/16619/iv%C3%A1n-ramiro-c%C3%B3rdoba/fifa09/
Owen Hargreaves FIFA 09,/player/12265/owen-hargreaves/fifa09/
Guti FIFA 09,/player/9593/guti/fifa09/
Nicolas Anelka FIFA 09,/player/5809/nicolas-anelka/fifa09/
Gianluca Zambrotta FIFA 09,/player/5099/gianluca-zambrotta/fifa09/
Bernd Schneider FIFA 09,/player/3922/bernd-schneider/fifa09/
Shay Given FIFA 09,/player/2651/shay-given/fifa09/
Patrick Vieira FIFA 09,/player/1419/patrick-vieira/fifa09/
Clarence Seedorf FIFA 09,/player/1256/clarence-seedorf/fifa09/
Frédéric Kanouté FIFA 09,/player/552/fr%C3%A9d%C3%A9ric-kanout%C3%A9/fifa09/
Robbie Keane FIFA 09,/player/330/robbie-keane/fifa09/
David James FIFA 09,/player/185/david-james/fifa09/
Kasper van Koperen FIFA 09,/player/177188/kasper-van-koperen/fifa09/
Luka Modrič FIFA 09,/player/177003/luka-modri%C4%8D/fifa09/
Naldo FIFA 09,/player/171919/naldo/fifa09/
Ezequiel Garay FIFA 09,/player/170481/ezequiel-garay/fifa09/
Micah Richards FIFA 09,/player/169721/micah-richards/fifa09/
Anderson FIFA 09,/player/167963/anderson/fifa09/
Samir Nasri FIFA 09,/player/165239/samir-nasri/fifa09/
Bacary Sagna FIFA 09,/player/163419/bacary-sagna/fifa09/
Fabio Quagliarella FIFA 09,/player/159261/fabio-quagliarella/fifa09/
Bafetimbi Gomis FIFA 09,/player/159145/bafetimbi-gomis/fifa09/
Jefferson Farfán FIFA 09,/player/158133/jefferson-farf%C3%A1n/fifa09/
Mathieu Flamini FIFA 09,/player/156722/mathieu-flamini/fifa09/
Henrique FIFA 09,/player/152830/henrique/fifa09/
David Bentley FIFA 09,/player/152555/david-bentley/fifa09/
Daniel Agger FIFA 09,/player/152039/daniel-agger/fifa09/
Munitis FIFA 09,/player/146659/munitis/fifa09/
Guillermo Ochoa FIFA 09,/player/140233/guillermo-ochoa/fifa09/
Helton FIFA 09,/player/139094/helton/fifa09/
Roberto Carlos Abbondanzieri FIFA 09,/player/139036/roberto-carlos-abbondanzieri/fifa09/
Fernando Cavenaghi FIFA 09,/player/138787/fernando-cavenaghi/fifa09/
Jolean Lescott FIFA 09,/player/138726/jolean-lescott/fifa09/
Diego Lugano FIFA 09,/player/138445/diego-lugano/fifa09/
Obafemi Martins FIFA 09,/player/137494/obafemi-martins/fifa09/
Bogdan Lobont FIFA 09,/player/136875/bogdan-lobont/fifa09/
Alex FIFA 09,/player/136130/alex/fifa09/
Cris FIFA 09,/player/135479/cris/fifa09/
Gomes FIFA 09,/player/135451/gomes/fifa09/
Sulley Ali Muntari FIFA 09,/player/123621/sulley-ali-muntari/fifa09/
Jean II Makoun FIFA 09,/player/120304/jean-ii-makoun/fifa09/
Juninho FIFA 09,/player/112712/juninho/fifa09/
Maximiliano Rodríguez FIFA 09,/player/110381/maximiliano-rodr%C3%ADguez/fifa09/
Mirko Vučinić FIFA 09,/player/106850/mirko-vu%C4%8Dini%C4%87/fifa09/
Heiko Westermann FIFA 09,/player/52270/heiko-westermann/fifa09/
Martín Palermo FIFA 09,/player/51152/mart%C3%ADn-palermo/fifa09/
Kevin Kuranyi FIFA 09,/player/49012/kevin-kuranyi/fifa09/
Raúl FIFA 09,/player/45661/ra%C3%BAl/fifa09/
Xabi Alonso FIFA 09,/player/45197/xabi-alonso/fifa09/
Mikel Arteta FIFA 09,/player/45119/mikel-arteta/fifa09/
David Pizarro FIFA 09,/player/24248/david-pizarro/fifa09/
